chan,utime,isotime,source,heard,level,error,dti,name,symbol,latitude,longitude,speed,course,altitude,frequency,offset,tone,system,status,comment
0,1541116806,2018-11-02T00:00:06Z,N2CSA,W4VA-10,2(0/0),0,;,N2CSA-13,/_,38.998167,-74.933167,,,,,,,APRSISCE win32 version,,,
0,1541116825,2018-11-02T00:00:25Z,W4VA-10,W4VA-10,4(0/0),0,:,W4VA-10,/<,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1541116826,2018-11-02T00:00:26Z,W4VA-10,W4VA-10,1(0/0),0,:,W4VA-10,/<,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1541116827,2018-11-02T00:00:27Z,W4VA-10,W4VA-10,3(0/0),0,:,W4VA-10,/<,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1541116828,2018-11-02T00:00:28Z,W4VA-10,N3HF-1?,3(0/0),0,:,W4VA-10,/<,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1541116829,2018-11-02T00:00:29Z,W4VA-10,N3HF-1?,4(0/0),0,:,W4VA-10,/<,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1541116829,2018-11-02T00:00:29Z,W4VA-10,N3HF-1?,6(0/0),0,:,W4VA-10,/<,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1541116832,2018-11-02T00:00:32Z,W4VA-10,WC4J-3?,2(0/0),0,:,W4VA-10,/<,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1541116838,2018-11-02T00:00:38Z,W4VA-10,W4VA-10,2(0/0),0,T,W4VA-10,/<,,,,,,,,,"DireWolf, WB2OSZ",,"Seq=240, Supply=11.82 Volts, Humidity=55.0 %, Temp=71.6 deg.F, 5GHz_remote=-68 dBm, 5GHz_base=-67 dBm, unused= unused0, unused= unused0, unused= unused0, 5G_link= 5G_Link1, AllStar= AllStar1, APRS= APRS1, unused= unused0, DR1X= DR1X1",
0,1541116839,2018-11-02T00:00:39Z,W4VA-10,N3HF-1?,3(0/0),0,T,W4VA-10,/<,,,,,,,,,"DireWolf, WB2OSZ",,"Seq=240, Supply=11.82 Volts, Humidity=55.0 %, Temp=71.6 deg.F, 5GHz_remote=-68 dBm, 5GHz_base=-67 dBm, unused= unused0, unused= unused0, unused= unused0, 5G_link= 5G_Link1, AllStar= AllStar1, APRS= APRS1, unused= unused0, DR1X= DR1X1",
0,1541116840,2018-11-02T00:00:40Z,W4VA-10,WC4J-3?,3(0/0),0,T,W4VA-10,/<,,,,,,,,,"DireWolf, WB2OSZ",,"Seq=240, Supply=11.82 Volts, Humidity=55.0 %, Temp=71.6 deg.F, 5GHz_remote=-68 dBm, 5GHz_base=-67 dBm, unused= unused0, unused= unused0, unused= unused0, 5G_link= 5G_Link1, AllStar= AllStar1, APRS= APRS1, unused= unused0, DR1X= DR1X1",
0,1541116851,2018-11-02T00:00:51Z,WC4J-3,WC4J-3,2(0/0),0,;,524,/d,38.831000,-77.663833,,,,,,,APRSISCE win32 version,,,PWC Station 25
0,1541116852,2018-11-02T00:00:52Z,WC4J-3,N3HF-1?,3(0/0),0,;,524,/d,38.831000,-77.663833,,,,,,,APRSISCE win32 version,,,PWC Station 25
0,1541116855,2018-11-02T00:00:55Z,W4VA-10,W4VA-10,2(0/0),0,<,W4VA-10,/<,,,,,,,,,"DireWolf, WB2OSZ",,,"IGATE,MSG_CNT=0,PKT_CNT=0,DIR_CNT=25,LOC_CNT=73,RF_CNT=112,UPL_CNT=331862,DNL_CNT=120863"
0,1541116856,2018-11-02T00:00:56Z,W4VA-10,N3HF-1?,2(0/0),0,<,W4VA-10,/<,,,,,,,,,"DireWolf, WB2OSZ",,,"IGATE,MSG_CNT=0,PKT_CNT=0,DIR_CNT=25,LOC_CNT=73,RF_CNT=112,UPL_CNT=331862,DNL_CNT=120863"
0,1541116858,2018-11-02T00:00:58Z,W4VA-10,WC4J-3?,6(0/0),0,<,W4VA-10,/<,,,,,,,,,"DireWolf, WB2OSZ",,,"IGATE,MSG_CNT=0,PKT_CNT=0,DIR_CNT=25,LOC_CNT=73,RF_CNT=112,UPL_CNT=331862,DNL_CNT=120863"
0,1541116874,2018-11-02T00:01:14Z,K3ORB-3,W4VA-10,4(0/0),0,`,K3ORB-3,/k,38.375000,-75.506500,45.0,259.0,11.0,,,,Kenwood TM-D700,In Service,,
