chan,utime,isotime,source,heard,level,error,dti,name,symbol,latitude,longitude,speed,course,altitude,frequency,offset,tone,system,status,comment
0,1538784005,2018-10-06T00:00:05Z,KK4ZUU,N3HF-1?,3(0/0),0,},KK4ZUU,/ ,,,,,,,,,Xastir,,,
0,1538784006,2018-10-06T00:00:06Z,WC4J-3,N3HF-1?,3(0/0),0,},WC4J-3,/f,,,,,,,,,APRSISCE win32 version,,,
0,1538784027,2018-10-06T00:00:27Z,WC4J-3,N3HF-1?,3(0/0),0,;,PW HOSP,/h,38.767167,-77.487167,,,,,,,APRSISCE win32 version,,,PWC NOVANT HOSPITAL
0,1538784031,2018-10-06T00:00:31Z,K4DPF-2,N3HF-1?,1(0/0),0,_,K4DPF-2,/U,,,,,,,,,Byons WXTrac,,,
0,1538784049,2018-10-06T00:00:49Z,KJ4RPW-3,N3HF-1?,2(0/0),0,!,KJ4RPW-3,S#,37.984167,-78.485000,,,,,,,Kantronics KPC-3 rom versions,,,"/W3,VAn,Wn  CHARLOTTESVILLE, VA"
0,1538784057,2018-10-06T00:00:57Z,WC4J-3,N3HF-1?,1(0/0),0,;,510,/d,38.629167,-77.315167,,,,,,,APRSISCE win32 version,,,Dale City VFD
0,1538784065,2018-10-06T00:01:05Z,KK4ZUU,N3HF-1?,2(0/0),0,},KK4ZUU,/ ,,,,,,,,,Xastir,,,
0,1538784067,2018-10-06T00:01:07Z,WC4J-3,N3HF-1?,3(0/0),0,},WC4J-3,/f,,,,,,,,,APRSISCE win32 version,,,
0,1538784075,2018-10-06T00:01:15Z,WC4J-3,N3HF-1?,2(0/0),0,},WC4J-3,/f,,,,,,,,,APRSISCE win32 version,,,
0,1538784082,2018-10-06T00:01:22Z,KC3BBT-13,N3HF-1,1(0/0),0,@,KC3BBT-13,/_,38.966000,-77.094000,,,,,,,>40 APRSmax,,,
0,1538784087,2018-10-06T00:01:27Z,WC4J-3,N3HF-1?,3(0/0),0,;,Sentara,/h,38.636333,-77.286500,,,,,,,APRSISCE win32 version,,,Sentara NVA Medical Center
0,1538784108,2018-10-06T00:01:48Z,K4BBB-1,N3HF-1?,2(0/0),0,:,K4BBB-1,/a,,,,,,,,,APRSISCE win32 version,,,1{XG}
0,1538784117,2018-10-06T00:01:57Z,K4BBB-1,N3HF-1?,2(0/0),0,>,K4BBB-1,/a,,,,,,,,,APRSISCE win32 version,,,DX: KV3B-1 20.4mi 353° 00:01 3911.19N 07714.76W 
0,1538784119,2018-10-06T00:01:59Z,WC4J-3,N3HF-1?,4(0/0),0,;,520,/d,38.647667,-77.306333,,,,,,,APRSISCE win32 version,,,Dale City FD
0,1538784139,2018-10-06T00:02:19Z,N3KTX-6,N3HF-1?,3(0/0),0,!,N3KTX-6,S#,39.859167,-77.165833,,,,,,,Kantronics KPC-3 rom versions,,, W3.PAn MasonDixon Group
0,1538784147,2018-10-06T00:02:27Z,WC4J-3,N3HF-1?,4(0/0),0,;,511,/d,38.786833,-77.508000,,,,,,,APRSISCE win32 version,,,Stonewall Jackson FD
0,1538784150,2018-10-06T00:02:30Z,W5ODJ-8,N3HF-1?,1(0/0),0,`,W5ODJ-8,/v,39.137000,-77.597667,48.0,109.0,198.0,145.310,,,Kenwood TM-D710,En Route,, DRIVING THE PICKLE!
0,1538784178,2018-10-06T00:02:58Z,WC4J-3,N3HF-1?,1(0/0),1,;,503F,/d,38.553500,-77.332500,,,,,,,APRSISCE win32 version,,,Dumfries Triangle VFD
0,1538784194,2018-10-06T00:03:14Z,N3HF-1,N3HF-1,3(0/0),0,;,IRLP-4712,I0,39.040000,-76.992167,,,,443.450,,156.7,,,, N3HF-R
0,1538784207,2018-10-06T00:03:27Z,WC4J-3,N3HF-1?,2(0/0),0,;,512,/d,38.635833,-77.276167,,,,,,,APRSISCE win32 version,,,OWL VFD
0,1538784213,2018-10-06T00:03:33Z,KM4MAR-9,N3HF-1?,2(0/0),0,`,KM4MAR-9,/j,38.933667,-78.530500,0.0,297.0,346.0,147.300,+600,146.2,Kenwood TM-D710,Off Duty,, & V-Alert
0,1538784221,2018-10-06T00:03:41Z,W4PGT,N3HF-1?,2(0/0),0,!,W4PGT,/y,37.505833,-77.164167,,,,,,,,,, WinAPRS QRT @282058z
0,1538784282,2018-10-06T00:04:42Z,N2XP-9,N3HF-1?,4(0/0),0,',N2XP-9,/>,39.941500,-74.296833,32.0,109.0,55.0,,,,Kenwood TM-D700,En Route,,
0,1538784296,2018-10-06T00:04:56Z,K4DND-9,N3HF-1?,2(0/0),0,`,K4DND-9,/j,38.046333,-78.504333,21.0,193.0,150.0,,,,Yaesu FTM-400DR,Off Duty,,
0,1538784298,2018-10-06T00:04:58Z,WC4J-3,N3HF-1?,3(0/0),0,;,501,/d,38.752833,-77.469000,,,,,,,APRSISCE win32 version,,,Manassas Vol FD
0,1538784312,2018-10-06T00:05:12Z,N3HF-1,N3HF-1,2(0/0),0,;,EL-84345,E0,39.040000,-76.992167,,,,443.450,,156.7,Kantronics KPC-3 rom versions,,, N3HF-R
0,1538784327,2018-10-06T00:05:27Z,WC4J-3,N3HF-1?,2(0/0),0,;,502,/d,38.663333,-77.255667,,,,,,,APRSISCE win32 version,,,OWL VFD
0,1538784339,2018-10-06T00:05:39Z,K4DPF-2,N3HF-1?,3(0/0),0,_,K4DPF-2,/U,,,,,,,,,Byons WXTrac,,,
0,1538784357,2018-10-06T00:05:57Z,WC4J-3,N3HF-1?,1(0/0),0,;,503R,/d,38.558000,-77.325500,,,,,,,APRSISCE win32 version,,,Dumfries Triangle VFD
0,1538784362,2018-10-06T00:06:02Z,KD3YG,N3HF-1?,3(0/0),0,@,KD3YG,/-,39.193333,-77.279500,,,,,,,APRSISCE win32 version,,,
0,1538784387,2018-10-06T00:06:27Z,WC4J-3,N3HF-1?,5(0/0),0,;,505,/d,38.700333,-77.577167,,,,,,,APRSISCE win32 version,,,Nokesville Vol FD
0,1538784395,2018-10-06T00:06:35Z,K4BBB-1,N3HF-1?,4(0/0),0,:,K4BBB-1,/a,,,,,,,,,APRSISCE win32 version,,,AA:Testing...
0,1538784404,2018-10-06T00:06:44Z,N4IWI-4,N3HF-1?,3(0/0),0,`,N4IWI-4,/-,38.036500,-79.082833,0.0,,,,,,Yaesu FTM-400DR,Off Duty,,FTM400XD/DISCONE/FM08LA SCANNING HF ALE SELCALL: 3218
0,1538784417,2018-10-06T00:06:57Z,WC4J-3,N3HF-1?,3(0/0),0,;,523,/d,38.586500,-77.304833,,,,,,,APRSISCE win32 version,,,Dumfries Triangle VFD
0,1538784424,2018-10-06T00:07:04Z,N3HF-1,N3HF-1,3(0/0),0,!,N3HF-1,S#,38.684500,-77.418333,,,,,,,Kantronics KPC-3 rom versions,,,"/W3,VAn,Independent Hill VA /A=00354"
0,1538784438,2018-10-06T00:07:18Z,N3HF-1,N3HF-1,2(0/0),0,;,443.450MD,/r,39.040000,-76.992167,,,,443.450,,156.7,,,, N3HF-R
0,1538784438,2018-10-06T00:07:18Z,WB3ANQ-8,N3HF-1?,1(0/0),0,`,WB3ANQ-8,\K,39.122667,-76.537833,6.0,30.0,33.0,,,,Kenwood TM-D710,In Service,,
0,1538784447,2018-10-06T00:07:27Z,WC4J-3,N3HF-1?,4(0/0),0,;,506,/d,38.656167,-77.442167,,,,,,,APRSISCE win32 version,,,Coles VFD
0,1538784453,2018-10-06T00:07:33Z,KM4MAR-9,N3HF-1?,4(0/0),0,`,KM4MAR-9,/j,38.934167,-78.531000,0.0,,354.0,147.300,+600,146.2,Kenwood TM-D710,Off Duty,, & V-Alert
