chan,utime,isotime,source,heard,level,error,dti,name,symbol,latitude,longitude,speed,course,altitude,frequency,offset,tone,system,status,comment
0,1540771205,2018-10-29T00:00:05Z,KN4LLQ-9,W4VA-10,2(0/0),0,`,KN4LLQ-9,/>,38.211500,-77.534500,25.0,71.0,71.0,,,,Yaesu FTM-400DR,In Service,,
0,1540771208,2018-10-29T00:00:08Z,KC1TWR-4,W4VA-10,4(0/0),0,`,KC1TWR-4,/>,38.320000,-77.504333,46.0,188.0,57.0,,,,Kenwood TM-D710,In Service,,
0,1540771211,2018-10-29T00:00:11Z,WC4J-3,N3HF-1?,2(0/0),0,;,511,/d,38.786833,-77.508000,,,,,,,APRSISCE win32 version,,,Stonewall Jackson FD
0,1540771223,2018-10-29T00:00:23Z,W4WFF-5,W4VA-10,2(0/0),0,!,W4WFF-5,/#,37.937167,-75.474333,,,,,,,Open Track,,," 09.6V Wallops Island, VA Digipeater Wn-n,VAn-n"
0,1540771228,2018-10-29T00:00:28Z,W4VA-10,W4VA-10,2(0/0),0,:,W4VA-10,/<,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1540771228,2018-10-29T00:00:28Z,W4VA-10,W4VA-10,3(0/0),0,:,W4VA-10,/<,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1540771229,2018-10-29T00:00:29Z,W4VA-10,N3HF-1?,2(0/0),0,:,W4VA-10,/<,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1540771230,2018-10-29T00:00:30Z,W4VA-10,N3HF-1?,2(0/0),0,:,W4VA-10,/<,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1540771231,2018-10-29T00:00:31Z,W4VA-10,N3HF-1?,3(0/0),0,:,W4VA-10,/<,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1540771233,2018-10-29T00:00:33Z,W4VA-10,WC4J-3?,5(0/0),1,:,W4VA-10,/<,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1540771234,2018-10-29T00:00:34Z,W4VA-10,WC4J-3?,3(0/0),1,:,W4VA-10,/<,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1540771235,2018-10-29T00:00:35Z,W4VA-10,W4VA-10,4(0/0),0,T,W4VA-10,/<,,,,,,,,,"DireWolf, WB2OSZ",,"Seq=88, Supply=12.07 Volts, Humidity=43.0 %, Temp=71.6 deg.F, 5GHz_remote=-66 dBm, 5GHz_base=-66 dBm, unused= unused0, unused= unused0, unused= unused0, 5G_link= 5G_Link1, AllStar= AllStar1, APRS= APRS1, unused= unused0, DR1X= DR1X1",
0,1540771236,2018-10-29T00:00:36Z,W4VA-10,W4PWC?,2(0/0),0,T,W4VA-10,/<,,,,,,,,,"DireWolf, WB2OSZ",,"Seq=88, Supply=12.07 Volts, Humidity=43.0 %, Temp=71.6 deg.F, 5GHz_remote=-66 dBm, 5GHz_base=-66 dBm, unused= unused0, unused= unused0, unused= unused0, 5G_link= 5G_Link1, AllStar= AllStar1, APRS= APRS1, unused= unused0, DR1X= DR1X1",
0,1540771237,2018-10-29T00:00:37Z,W4VA-10,N3HF-1?,3(0/1),0,T,W4VA-10,/<,,,,,,,,,"DireWolf, WB2OSZ",,"Seq=88, Supply=12.07 Volts, Humidity=43.0 %, Temp=71.6 deg.F, 5GHz_remote=-66 dBm, 5GHz_base=-66 dBm, unused= unused0, unused= unused0, unused= unused0, 5G_link= 5G_Link1, AllStar= AllStar1, APRS= APRS1, unused= unused0, DR1X= DR1X1",
0,1540771240,2018-10-29T00:00:40Z,WC4J-3,WC4J-3,3(0/0),0,;,PW HOSP,/h,38.767167,-77.487167,,,,,,,APRSISCE win32 version,,,PWC NOVANT HOSPITAL
0,1540771241,2018-10-29T00:00:41Z,WC4J-3,N3HF-1?,3(0/0),0,;,PW HOSP,/h,38.767167,-77.487167,,,,,,,APRSISCE win32 version,,,PWC NOVANT HOSPITAL
0,1540771246,2018-10-29T00:00:46Z,K8GIS-1,W4VA-10,2(0/0),0,`,K8GIS-1,/k,39.141167,-77.693667,0.0,96.0,166.0,,,,Yaesu FTM-400DR,En Route,,
0,1540771247,2018-10-29T00:00:47Z,K8GIS-1,N3HF-1?,3(0/0),0,`,K8GIS-1,/k,39.141167,-77.693667,0.0,96.0,166.0,,,,Yaesu FTM-400DR,En Route,,
0,1540771253,2018-10-29T00:00:53Z,W4VA-10,W4VA-10,2(0/0),0,<,W4VA-10,/<,,,,,,,,,"DireWolf, WB2OSZ",,,"IGATE,MSG_CNT=0,PKT_CNT=0,DIR_CNT=21,LOC_CNT=69,RF_CNT=97,UPL_CNT=208515,DNL_CNT=75874"
