chan,utime,isotime,source,heard,level,error,dti,name,symbol,latitude,longitude,speed,course,altitude,frequency,offset,tone,system,status,comment
0,1539302404,2018-10-12T00:00:04Z,WC4J-3,WC4J-3,3(0/0),0,;,507,/d,38.707167,-77.452833,,,,,,,APRSISCE win32 version,,,Lake Jackson VFD
0,1539302404,2018-10-12T00:00:04Z,WC4J-3,N3HF-1?,2(0/0),0,;,507,/d,38.707167,-77.452833,,,,,,,APRSISCE win32 version,,,Lake Jackson VFD
0,1539302432,2018-10-12T00:00:32Z,KJ4RPW-3,N3HF-1?,3(0/0),0,!,KJ4RPW-3,S#,37.984167,-78.485000,,,,,,,Kantronics KPC-3 rom versions,,,"/W3,VAn,Wn  CHARLOTTESVILLE, VA"
0,1539302434,2018-10-12T00:00:34Z,KJ4RPW-3,WC4J-3?,2(0/0),0,!,KJ4RPW-3,S#,37.984167,-78.485000,,,,,,,Kantronics KPC-3 rom versions,,,"/W3,VAn,Wn  CHARLOTTESVILLE, VA"
0,1539302435,2018-10-12T00:00:35Z,WC4J-3,WC4J-3,3(0/0),0,;,512,/d,38.635833,-77.276167,,,,,,,APRSISCE win32 version,,,OWL VFD
0,1539302436,2018-10-12T00:00:36Z,WC4J-3,N3HF-1?,2(0/0),0,;,512,/d,38.635833,-77.276167,,,,,,,APRSISCE win32 version,,,OWL VFD
0,1539302452,2018-10-12T00:00:52Z,W4ABN-3,N3HF-1?,3(0/0),0,`,W4ABN-3,/k,38.936621,-77.544588,0.0,43.0,107.0,,,,Byonics TinyTrack3,In Service,"Seq=409, A1=393, A2=611",Daniel - RTG
0,1539302464,2018-10-12T00:01:04Z,WC4J-3,WC4J-3,3(0/0),0,;,516,/d,38.731333,-77.418500,,,,,,,APRSISCE win32 version,,,Buckhall VFD
0,1539302465,2018-10-12T00:01:05Z,WC4J-3,N3HF-1?,2(0/0),0,;,516,/d,38.731333,-77.418500,,,,,,,APRSISCE win32 version,,,Buckhall VFD
0,1539302469,2018-10-12T00:01:09Z,WX4C,N3HF-1?,2(0/0),0,',WX4C,/.,38.504333,-78.767333,0.0,,,,,,Kenwood TM-D710,Committed,,www.wx4c.com
0,1539302481,2018-10-12T00:01:21Z,NU3S-7,N3HF-1?,2(0/0),0,=,NU3S-7,/_,40.379167,-80.080000,,,,,,,Kenwood D710,,,
0,1539302494,2018-10-12T00:01:34Z,WC4J-3,WC4J-3,2(0/0),0,;,513,/d,38.656667,-77.341667,,,,,,,APRSISCE win32 version,,,Dale City VFD
0,1539302495,2018-10-12T00:01:35Z,WC4J-3,N3HF-1?,3(0/0),0,;,513,/d,38.656667,-77.341667,,,,,,,APRSISCE win32 version,,,Dale City VFD
0,1539302508,2018-10-12T00:01:48Z,KC4DV-9,KC4DV-9,3(0/0),0,`,KC4DV-9,/>,38.728333,-77.480000,0.0,100.0,76.0,,,,Yaesu FTM-400DR,En Route,,
0,1539302524,2018-10-12T00:02:04Z,WC4J-3,WC4J-3,3(0/0),0,;,526,/d,38.684667,-77.360000,,,,,,,APRSISCE win32 version,,,PWC FD Station 26
0,1539302525,2018-10-12T00:02:05Z,WC4J-3,N3HF-1?,2(0/0),0,;,526,/d,38.684667,-77.360000,,,,,,,APRSISCE win32 version,,,PWC FD Station 26
0,1539302554,2018-10-12T00:02:34Z,WC4J-3,WC4J-3,4(0/0),0,;,509,/d,38.770833,-77.446333,,,,,,,APRSISCE win32 version,,,Manassas Park FD
0,1539302555,2018-10-12T00:02:35Z,WC4J-3,N3HF-1?,3(0/0),0,;,509,/d,38.770833,-77.446333,,,,,,,APRSISCE win32 version,,,Manassas Park FD
0,1539302582,2018-10-12T00:03:02Z,W2SRH-9,N3HF-1?,2(0/0),0,`,W2SRH-9,/v,39.211167,-78.136833,52.0,172.0,208.0,146.520,,,Yaesu FTM-400DR,In Service,,
0,1539302584,2018-10-12T00:03:04Z,W2SRH-9,WC4J-3?,3(0/0),0,`,W2SRH-9,/v,39.211167,-78.136833,52.0,172.0,208.0,146.520,,,Yaesu FTM-400DR,In Service,,
0,1539302584,2018-10-12T00:03:04Z,WC4J-3,WC4J-3,2(0/0),0,;,502,/d,38.663333,-77.255667,,,,,,,APRSISCE win32 version,,,OWL VFD
0,1539302585,2018-10-12T00:03:05Z,WC4J-3,N3HF-1?,3(0/0),0,;,502,/d,38.663333,-77.255667,,,,,,,APRSISCE win32 version,,,OWL VFD
0,1539302603,2018-10-12T00:03:23Z,N3HF-1,N3HF-1,3(1/1),0,;,IRLP-4712,I0,39.040000,-76.992167,,,,443.450,,156.7,,,, N3HF-R
0,1539302606,2018-10-12T00:03:26Z,WC4J,N3HF-1?,4(0/0),0,>,WC4J,/ ,,,,,,,,,APRSISCE win32 version,,,in service
0,1539302614,2018-10-12T00:03:34Z,WC4J-3,WC4J-3,4(0/0),0,;,505,/d,38.700333,-77.577167,,,,,,,APRSISCE win32 version,,,Nokesville Vol FD
0,1539302615,2018-10-12T00:03:35Z,WC4J-3,N3HF-1?,3(0/0),0,;,505,/d,38.700333,-77.577167,,,,,,,APRSISCE win32 version,,,Nokesville Vol FD
0,1539302618,2018-10-12T00:03:38Z,W4IY,N3HF-1,3(0/0),0,!,W4IY,/&,38.650500,-77.275167,,,,,,,APRS4R software interface,,,APRS4R    Woodbridge  VA
0,1539302620,2018-10-12T00:03:40Z,W4IY,WC4J-3?,4(0/0),0,!,W4IY,/&,38.650500,-77.275167,,,,,,,APRS4R software interface,,,APRS4R    Woodbridge  VA
0,1539302644,2018-10-12T00:04:04Z,WC4J-3,WC4J-3,3(0/0),0,;,514,/d,38.688000,-77.313833,,,,,,,APRSISCE win32 version,,,OWL VFD
0,1539302644,2018-10-12T00:04:04Z,WC4J-3,N3HF-1?,2(0/0),0,;,514,/d,38.688000,-77.313833,,,,,,,APRSISCE win32 version,,,OWL VFD
0,1539302650,2018-10-12T00:04:10Z,K4DPF-2,N3HF-1?,2(0/0),0,_,K4DPF-2,/U,,,,,,,,,Byons WXTrac,,,
0,1539302652,2018-10-12T00:04:12Z,K4DPF-2,WC4J-3?,2(0/0),0,_,K4DPF-2,/U,,,,,,,,,Byons WXTrac,,,
0,1539302654,2018-10-12T00:04:14Z,K4DPF-2,N3HF-1?,2(0/0),0,!,K4DPF-2,/W,39.030667,-77.595500,,,,,,,Byons WXTrac,,,
0,1539302659,2018-10-12T00:04:19Z,KG7AQY-10,N3HF-1?,3(0/0),0,K,KG7AQY-10,/<,,,,,,,,,,,,
0,1539302672,2018-10-12T00:04:32Z,K4EME-3,N3HF-1?,3(0/0),0,!,K4EME-3,/#,38.165333,-79.314167,,,,,,,,,,"/WIDE-RELAY digi on Elliott Knob,VA A=4440"
0,1539302674,2018-10-12T00:04:34Z,WC4J-3,WC4J-3,2(0/0),0,;,520,/d,38.647667,-77.306333,,,,,,,APRSISCE win32 version,,,Dale City FD
0,1539302675,2018-10-12T00:04:35Z,WC4J-3,N3HF-1?,2(0/0),0,;,520,/d,38.647667,-77.306333,,,,,,,APRSISCE win32 version,,,Dale City FD
0,1539302704,2018-10-12T00:05:04Z,WC4J-3,WC4J-3,3(0/0),0,;,504,/d,38.804000,-77.618833,,,,,,,APRSISCE win32 version,,,Gainsville VFD
0,1539302704,2018-10-12T00:05:04Z,WC4J-3,N3HF-1?,2(0/0),0,;,504,/d,38.804000,-77.618833,,,,,,,APRSISCE win32 version,,,Gainsville VFD
0,1539302720,2018-10-12T00:05:20Z,KD3SU-2,N3HF-1?,4(0/0),0,`,KD3SU-2,/v,38.859333,-76.613833,41.0,115.0,56.0,,,,Kenwood TM-D710,Off Duty,,On the road
0,1539302722,2018-10-12T00:05:22Z,KD3SU-2,WC4J-3?,2(0/0),0,`,KD3SU-2,/v,38.859333,-76.613833,41.0,115.0,56.0,,,,Kenwood TM-D710,Off Duty,,On the road
0,1539302725,2018-10-12T00:05:25Z,N3HF-1,N3HF-1,2(0/0),0,;,EL-84345,E0,39.040000,-76.992167,,,,443.450,,156.7,Kantronics KPC-3 rom versions,,, N3HF-R
0,1539302734,2018-10-12T00:05:34Z,WC4J-3,WC4J-3,4(0/0),0,;,525,/d,38.753167,-77.573000,,,,,,,APRSISCE win32 version,,,Nokesville Vol FD
0,1539302735,2018-10-12T00:05:35Z,WB3ANQ-8,N3HF-1?,2(0/0),0,`,WB3ANQ-8,\K,39.122500,-76.537833,4.0,87.0,-38.0,,,,Kenwood TM-D710,In Service,,
0,1539302743,2018-10-12T00:05:43Z,KB2CKK-7,N3HF-1?,2(0/0),0,`,KB2CKK-7,/>,39.016833,-77.375167,1.0,19.0,77.0,,,,Yaesu FTM-400DR,Off Duty,,
0,1539302745,2018-10-12T00:05:45Z,KB2CKK-7,WC4J-3?,2(0/1),0,`,KB2CKK-7,/>,39.016833,-77.375167,1.0,19.0,77.0,,,,Yaesu FTM-400DR,Off Duty,,
0,1539302750,2018-10-12T00:05:50Z,KA3POX,N3HF-1?,4(0/0),0,!,KA3POX,S#,38.711500,-76.980833,,,,,,,Kantronics KPC-3 rom versions,,,"/W2,MDn FTWASHINGTON MD"
0,1539302752,2018-10-12T00:05:52Z,KA3POX,WC4J-3?,2(0/0),0,!,KA3POX,S#,38.711500,-76.980833,,,,,,,Kantronics KPC-3 rom versions,,,"/W2,MDn FTWASHINGTON MD"
0,1539302764,2018-10-12T00:06:04Z,WC4J-3,WC4J-3,2(0/0),0,;,Heathcote,/h,38.820667,-77.641833,,,,,,,APRSISCE win32 version,,,Heathcote Hospital
0,1539302794,2018-10-12T00:06:34Z,WC4J-3,WC4J-3,4(0/0),0,;,515,/d,38.880667,-77.634000,,,,,,,APRSISCE win32 version,,,Evergreen FD
0,1539302795,2018-10-12T00:06:35Z,WC4J-3,N3HF-1?,3(0/0),0,;,515,/d,38.880667,-77.634000,,,,,,,APRSISCE win32 version,,,Evergreen FD
0,1539302799,2018-10-12T00:06:39Z,KK4MBK-9,N3HF-1?,3(0/0),0,`,KK4MBK-9,/j,39.027667,-77.431000,41.0,,86.0,,,,Yaesu FTM-400DR,Off Duty,,
0,1539302806,2018-10-12T00:06:46Z,KB2CKK-7,N3HF-1?,4(0/0),0,`,KB2CKK-7,/>,39.017500,-77.375333,9.0,119.0,84.0,,,,Yaesu FTM-400DR,Off Duty,,
0,1539302824,2018-10-12T00:07:04Z,WC4J-3,WC4J-3,2(0/0),0,;,PW HOSP,/h,38.767167,-77.487167,,,,,,,APRSISCE win32 version,,,PWC NOVANT HOSPITAL
0,1539302825,2018-10-12T00:07:05Z,WC4J-3,N3HF-1?,3(0/0),0,;,PW HOSP,/h,38.767167,-77.487167,,,,,,,APRSISCE win32 version,,,PWC NOVANT HOSPITAL
0,1539302830,2018-10-12T00:07:10Z,KK4MBK-9,N3HF-1?,1(0/0),0,`,KK4MBK-9,/j,39.027833,-77.431167,31.0,268.0,87.0,,,,Yaesu FTM-400DR,Off Duty,,
0,1539302832,2018-10-12T00:07:12Z,KK4MBK-9,WC4J-3?,2(0/0),0,`,KK4MBK-9,/j,39.027833,-77.431167,31.0,268.0,87.0,,,,Yaesu FTM-400DR,Off Duty,,
0,1539302837,2018-10-12T00:07:17Z,N3HF-1,N3HF-1,4(0/0),0,!,N3HF-1,S#,38.684500,-77.418333,,,,,,,Kantronics KPC-3 rom versions,,,"/W3,VAn,Independent Hill VA /A=00354"
0,1539302838,2018-10-12T00:07:18Z,KB2CKK-7,N3HF-1?,2(0/0),0,`,KB2CKK-7,/>,39.016667,-77.375333,11.0,279.0,83.0,,,,Yaesu FTM-400DR,Off Duty,,
0,1539302842,2018-10-12T00:07:22Z,W4PWC,WC4J-3,2(0/0),0,!,W4PWC,S#,38.567333,-77.657667,,,,,,,Kantronics KPC-9612 Roms,,, W2 VAN-N CATLETT VA
0,1539302843,2018-10-12T00:07:23Z,W4PWC,N3HF-1?,2(0/0),0,!,W4PWC,S#,38.567333,-77.657667,,,,,,,Kantronics KPC-9612 Roms,,, W2 VAN-N CATLETT VA
0,1539302851,2018-10-12T00:07:31Z,N3HF-1,N3HF-1,2(0/0),0,;,443.450MD,/r,39.040000,-76.992167,,,,443.450,,156.7,,,, N3HF-R
0,1539302854,2018-10-12T00:07:34Z,WC4J-3,WC4J-3,4(0/0),0,;,517,/d,38.625833,-77.347500,,,,,,,APRSISCE win32 version,,,Dumfries Triangle VFD
0,1539302855,2018-10-12T00:07:35Z,WC4J-3,N3HF-1?,2(0/0),0,;,517,/d,38.625833,-77.347500,,,,,,,APRSISCE win32 version,,,Dumfries Triangle VFD
0,1539302868,2018-10-12T00:07:48Z,KB2CKK-7,N3HF-1?,4(0/0),0,`,KB2CKK-7,/>,39.019167,-77.380167,33.0,305.0,85.0,,,,Yaesu FTM-400DR,Off Duty,,
0,1539302884,2018-10-12T00:08:04Z,WC4J-3,WC4J-3,3(0/0),0,;,Sentara,/h,38.636333,-77.286500,,,,,,,APRSISCE win32 version,,,Sentara NVA Medical Center
0,1539302885,2018-10-12T00:08:05Z,WC4J-3,N3HF-1?,2(0/0),0,;,Sentara,/h,38.636333,-77.286500,,,,,,,APRSISCE win32 version,,,Sentara NVA Medical Center
0,1539302914,2018-10-12T00:08:34Z,WC4J-3,WC4J-3,4(0/0),0,;,508,/d,38.794333,-77.449667,,,,,,,APRSISCE win32 version,,,Yorkshire VFD
0,1539302914,2018-10-12T00:08:34Z,WC4J-3,N3HF-1?,4(0/0),0,;,508,/d,38.794333,-77.449667,,,,,,,APRSISCE win32 version,,,Yorkshire VFD
0,1539302929,2018-10-12T00:08:49Z,W4ABN-3,N3HF-1?,1(0/0),0,`,W4ABN-3,/k,38.936634,-77.544586,0.0,43.0,107.0,,,,Byonics TinyTrack3,In Service,"Seq=413, A1=393, A2=611",Daniel - RTG
