chan,utime,isotime,source,heard,level,error,dti,name,symbol,latitude,longitude,speed,course,altitude,frequency,offset,tone,system,status,comment
0,1536685843,2018-09-11T17:10:43Z,W4IY,N3HF-1,1(0/0),0,!,W4IY,/&,38.650500,-77.275167,,,,,,,APRS4R software interface,,,APRS4R    Woodbridge  VA
0,1536685845,2018-09-11T17:10:45Z,W4IY,W4VA-10,1(0/0),0,!,W4IY,/&,38.650500,-77.275167,,,,,,,APRS4R software interface,,,APRS4R    Woodbridge  VA
0,1536685854,2018-09-11T17:10:54Z,AE4TC-9,W4VA-10,1(0/0),0,`,AE4TC-9,/>,37.915833,-76.463167,29.0,87.0,33.0,,,,Yaesu FTM-100D,Off Duty,,VOICE ALERT
0,1536685856,2018-09-11T17:10:56Z,AB4DL,W4VA-10,2(0/0),0,!,AB4DL,/-,38.568000,-77.624333,,,94.5,,,,PinPoint by AB0WV,,,"Dave in Bristersburg,VA"
0,1536685857,2018-09-11T17:10:57Z,AB4DL,N3HF-1?,2(0/0),0,!,AB4DL,/-,38.568000,-77.624333,,,94.5,,,,PinPoint by AB0WV,,,"Dave in Bristersburg,VA"
0,1536685877,2018-09-11T17:11:17Z,WB3ANQ-8,W4VA-10,1(0/0),0,`,WB3ANQ-8,\K,39.122167,-76.538000,0.0,,37.0,,,,Kenwood TM-D710,In Service,,
0,1536685880,2018-09-11T17:11:20Z,WC4J-3,W4VA-10,1(0/0),0,;,514,/d,38.688000,-77.313833,,,,,,,APRSISCE win32 version,,,OWL VFD
0,1536685885,2018-09-11T17:11:25Z,KD4WGN,W4VA-10,2(0/0),0,',KD4WGN,/>,38.870500,-77.453833,0.0,,74.0,,,,Kenwood TH-D74,In Service,,Hi
0,1536685885,2018-09-11T17:11:25Z,KD4WGN,N3HF-1,2(0/0),0,',KD4WGN,/>,38.870500,-77.453833,0.0,,74.0,,,,Kenwood TH-D74,In Service,,Hi
0,1536685887,2018-09-11T17:11:27Z,KD4WGN,WC4J-3,3(0/0),0,',KD4WGN,/>,38.870500,-77.453833,0.0,,74.0,,,,Kenwood TH-D74,In Service,,Hi
0,1536685888,2018-09-11T17:11:28Z,KD4WGN,N3HF-1?,2(0/0),0,',KD4WGN,/>,38.870500,-77.453833,0.0,,74.0,,,,Kenwood TH-D74,In Service,,Hi
0,1536685896,2018-09-11T17:11:36Z,K4DPF-2,W4VA-10,1(0/0),0,_,K4DPF-2,/U,,,,,,,,,Byons WXTrac,,,
0,1536685899,2018-09-11T17:11:39Z,K4EME-3,N3HF-1?,1(0/0),0,!,K4EME-3,/#,38.165333,-79.314167,,,,,,,,,,"/WIDE-RELAY digi on Elliott Knob,VA A=4440"
0,1536685902,2018-09-11T17:11:42Z,KJ4RPW-3,N3HF-1?,1(0/0),0,!,KJ4RPW-3,S#,37.984167,-78.485000,,,,,,,Kantronics KPC-3 rom versions,,,"/W3,VAn,Wn  CHARLOTTESVILLE, VA"
0,1536685907,2018-09-11T17:11:47Z,W4ABN-3,N3HF-1?,1(0/0),0,`,W4ABN-3,/k,38.936634,-77.544605,0.0,22.0,113.0,,,,Byonics TinyTrack3,In Service,"Seq=180, A1=395, A2=606",
0,1536685909,2018-09-11T17:11:49Z,WC4J-3,WC4J-3,3(0/0),0,;,516,/d,38.731333,-77.418500,,,,,,,APRSISCE win32 version,,,Buckhall VFD
0,1536685909,2018-09-11T17:11:49Z,W4ABN-3,WC4J-3?,2(0/0),0,`,W4ABN-3,/k,38.936634,-77.544605,0.0,22.0,113.0,,,,Byonics TinyTrack3,In Service,"Seq=180, A1=395, A2=606",
0,1536685911,2018-09-11T17:11:51Z,WC4J-3,W4VA-10,1(0/0),0,;,516,/d,38.731333,-77.418500,,,,,,,APRSISCE win32 version,,,Buckhall VFD
0,1536685922,2018-09-11T17:12:02Z,N3HF-1,N3HF-1,2(0/0),0,;,IRLP-4712,I0,39.040000,-76.992167,,,,443.450,,156.7,,,, N3HF-R
0,1536685927,2018-09-11T17:12:07Z,K3RYR-7,N3HF-1?,1(0/0),0,`,K3RYR-7,/[,39.171500,-77.301667,0.0,229.0,,,,,Kenwood TH-D74,In Service,,K3RYR-7
0,1536685928,2018-09-11T17:12:08Z,K3RYR-7,W4VA-10,2(0/0),0,`,K3RYR-7,/[,39.171500,-77.301667,0.0,229.0,,,,,Kenwood TH-D74,In Service,,K3RYR-7
0,1536685930,2018-09-11T17:12:10Z,K3RYR-7,WC4J-3?,2(0/0),0,`,K3RYR-7,/[,39.171500,-77.301667,0.0,229.0,,,,,Kenwood TH-D74,In Service,,K3RYR-7
0,1536685937,2018-09-11T17:12:17Z,WC4J-3,WC4J-3,2(0/0),1,;,515,/d,38.880667,-77.634000,,,,,,,APRSISCE win32 version,,,Evergreen FD
0,1536685939,2018-09-11T17:12:19Z,WC4J-3,W4VA-10,1(0/0),0,;,515,/d,38.880667,-77.634000,,,,,,,APRSISCE win32 version,,,Evergreen FD
0,1536685942,2018-09-11T17:12:22Z,KE4FYL-1,N3HF-1?,1(0/0),0,!,KE4FYL-1,/#,39.116167,-77.582000,,,,,,,UIdigi,,," Fill-In W1,VA1 Leesburg VA"
0,1536685945,2018-09-11T17:12:25Z,KE4FYL-1,WC4J-3?,2(0/0),0,!,KE4FYL-1,/#,39.116167,-77.582000,,,,,,,UIdigi,,," Fill-In W1,VA1 Leesburg VA"
0,1536685946,2018-09-11T17:12:26Z,KE4FYL-1,W4VA-10,2(0/0),0,!,KE4FYL-1,/#,39.116167,-77.582000,,,,,,,UIdigi,,," Fill-In W1,VA1 Leesburg VA"
0,1536685953,2018-09-11T17:12:33Z,AE4TC-9,W4VA-10,2(0/0),1,`,AE4TC-9,/>,37.915000,-76.435833,50.0,123.0,36.0,,,,Yaesu FTM-100D,Off Duty,,VOICE ALERT
0,1536685964,2018-09-11T17:12:44Z,W4VA-10,W4VA-10,1(0/0),0,!,W4VA-10,R&,38.734000,-77.836000,,,,,,,"DireWolf, WB2OSZ",,,"Viewtree Mtn, Warrenton, VA FM18br"
0,1536685967,2018-09-11T17:12:47Z,K3NAL-1,W4VA-10,2(0/0),0,!,K3NAL-1,S#,38.279833,-76.459667,,,,,,,"Network nodes, digis, etc",,, W3 MD3-3 PAX Digi
0,1536685972,2018-09-11T17:12:52Z,N3KNT-1,W4VA-10,1(0/0),1,!,N3KNT-1,S#,38.504833,-75.643167,,,,,,,Kantronics KPC-3 rom versions,,,"/W2, DEn-N S.Delaware   "
0,1536685977,2018-09-11T17:12:57Z,KD4WGN,W4VA-10,1(0/0),1,',KD4WGN,/>,38.870500,-77.453833,0.0,,74.0,,,,Kenwood TH-D74,In Service,,Hi
0,1536685978,2018-09-11T17:12:58Z,KD4WGN,N3HF-1,1(0/0),0,',KD4WGN,/>,38.870500,-77.453833,0.0,,74.0,,,,Kenwood TH-D74,In Service,,Hi
0,1536685980,2018-09-11T17:13:00Z,KD4WGN,WC4J-3,2(0/1),0,',KD4WGN,/>,38.870500,-77.453833,0.0,,74.0,,,,Kenwood TH-D74,In Service,,Hi
0,1536685980,2018-09-11T17:13:00Z,KD4WGN,N3HF-1?,2(0/0),0,',KD4WGN,/>,38.870500,-77.453833,0.0,,74.0,,,,Kenwood TH-D74,In Service,,Hi
0,1536685997,2018-09-11T17:13:17Z,WC4J-3,WC4J-3,7(0/0),0,;,502,/d,38.663333,-77.255667,,,,,,,APRSISCE win32 version,,,OWL VFD
0,1536686008,2018-09-11T17:13:28Z,KD4WGN,W4VA-10,2(0/0),0,',KD4WGN,/>,38.870500,-77.453833,0.0,,74.0,,,,Kenwood TH-D74,In Service,,Hi
0,1536686010,2018-09-11T17:13:30Z,KD4WGN,N3HF-1?,4(0/0),0,',KD4WGN,/>,38.870500,-77.453833,0.0,,74.0,,,,Kenwood TH-D74,In Service,,Hi
0,1536686011,2018-09-11T17:13:31Z,KD4WGN,WC4J-3,6(0/0),1,',KD4WGN,/>,38.870500,-77.453833,0.0,,74.0,,,,Kenwood TH-D74,In Service,,Hi
0,1536686011,2018-09-11T17:13:31Z,KD4WGN,N3HF-1?,2(0/0),0,',KD4WGN,/>,38.870500,-77.453833,0.0,,74.0,,,,Kenwood TH-D74,In Service,,Hi
0,1536686025,2018-09-11T17:13:45Z,WX4C,N3HF-1?,1(0/0),0,',WX4C,/.,38.504333,-78.767333,0.0,,,,,,Kenwood TM-D710,Committed,,www.wx4c.com
0,1536686029,2018-09-11T17:13:49Z,WC4J-3,WC4J-3,3(0/0),1,;,503R,/d,38.558000,-77.325500,,,,,,,APRSISCE win32 version,,,Dumfries Triangle VFD
0,1536686030,2018-09-11T17:13:50Z,WC4J-3,N3HF-1?,2(0/0),0,;,503R,/d,38.558000,-77.325500,,,,,,,APRSISCE win32 version,,,Dumfries Triangle VFD
0,1536686031,2018-09-11T17:13:51Z,WC4J-3,W4VA-10,2(0/0),0,;,503R,/d,38.558000,-77.325500,,,,,,,APRSISCE win32 version,,,Dumfries Triangle VFD
0,1536686038,2018-09-11T17:13:58Z,KD4WGN,W4VA-10,3(0/0),0,',KD4WGN,/>,38.870500,-77.453833,0.0,,74.0,,,,Kenwood TH-D74,In Service,,Hi
0,1536686039,2018-09-11T17:13:59Z,KD4WGN,N3HF-1?,2(0/0),0,',KD4WGN,/>,38.870500,-77.453833,0.0,,74.0,,,,Kenwood TH-D74,In Service,,Hi
0,1536686041,2018-09-11T17:14:01Z,KD4WGN,N3HF-1?,2(0/0),0,',KD4WGN,/>,38.870500,-77.453833,0.0,,74.0,,,,Kenwood TH-D74,In Service,,Hi
0,1536686044,2018-09-11T17:14:04Z,N3HF-1,N3HF-1,1(0/0),0,;,EL-84345,E0,39.040000,-76.992167,,,,443.450,,156.7,Kantronics KPC-3 rom versions,,, N3HF-R
0,1536686056,2018-09-11T17:14:16Z,K3HKI-1,W4VA-10,1(0/0),0,!,K3HKI-1,S#,38.396500,-76.631333,,,,,,,Kantronics KPC-3 rom versions,,, W3 MD3-3 SMCARA APRS Digi
0,1536686057,2018-09-11T17:14:17Z,K3HKI-1,N3HF-1?,2(0/0),0,!,K3HKI-1,S#,38.396500,-76.631333,,,,,,,Kantronics KPC-3 rom versions,,, W3 MD3-3 SMCARA APRS Digi
0,1536686059,2018-09-11T17:14:19Z,N3HF-1,N3HF-1,2(0/0),0,;,443.450MD,/r,39.040000,-76.992167,,,,443.450,,156.7,,,, N3HF-R
0,1536686062,2018-09-11T17:14:22Z,K3HKI-1,WC4J-3?,3(0/0),1,!,K3HKI-1,S#,38.396500,-76.631333,,,,,,,Kantronics KPC-3 rom versions,,, W3 MD3-3 SMCARA APRS Digi
0,1536686066,2018-09-11T17:14:26Z,WB3ANQ-8,N3HF-1?,2(0/0),0,`,WB3ANQ-8,\K,39.122667,-76.538000,5.0,11.0,46.0,,,,Kenwood TM-D710,In Service,,
0,1536686071,2018-09-11T17:14:31Z,KC0ODK-9,W4VA-10,7(0/0),0,`,KC0ODK-9,/k,38.288000,-76.480667,40.0,123.0,35.0,146.640,,,Kenwood TM-D710,En Route,,
0,1536686089,2018-09-11T17:14:49Z,WC4J-3,W4VA-10,2(0/0),0,;,517,/d,38.625833,-77.347500,,,,,,,APRSISCE win32 version,,,Dumfries Triangle VFD
0,1536686099,2018-09-11T17:14:59Z,KD4WGN,W4VA-10,3(0/0),0,',KD4WGN,/>,38.870500,-77.453833,0.0,,74.0,,,,Kenwood TH-D74,In Service,,Hi
0,1536686100,2018-09-11T17:15:00Z,KD4WGN,N3HF-1,2(0/0),0,',KD4WGN,/>,38.870500,-77.453833,0.0,,74.0,,,,Kenwood TH-D74,In Service,,Hi
0,1536686102,2018-09-11T17:15:02Z,KD4WGN,N3HF-1?,2(0/0),0,',KD4WGN,/>,38.870500,-77.453833,0.0,,74.0,,,,Kenwood TH-D74,In Service,,Hi
0,1536686112,2018-09-11T17:15:12Z,WR4CV-4,N3HF-1,1(0/0),0,!,WR4CV-4,/#,37.795667,-79.180167,,,,,,,Open Track,,,!3747.74N/07910.81W#APRS+ QRT2018/06/06 Rocky Mtn@4150ft ASL
