chan,utime,isotime,source,heard,level,error,dti,name,symbol,latitude,longitude,speed,course,altitude,frequency,offset,tone,system,status,comment
0,1539216004,2018-10-11T00:00:04Z,N3UJJ-6,N3HF-1?,2(0/0),0,!,N3UJJ-6,S#,38.988500,-76.499000,,,,,,,Kantronics KPC-3 rom versions,,," W2, MDn-N, Annapolis Digipeater"
0,1539216014,2018-10-11T00:00:14Z,WC4J-3,N3HF-1?,1(0/0),0,;,Sentara,/h,38.636333,-77.286500,,,,,,,APRSISCE win32 version,,,Sentara NVA Medical Center
0,1539216044,2018-10-11T00:00:44Z,W4ABN-3,N3HF-1?,2(0/0),0,`,W4ABN-3,/k,38.936632,-77.544577,0.0,43.0,106.0,,,,Byonics TinyTrack3,In Service,"Seq=710, A1=396, A2=621",
0,1539216074,2018-10-11T00:01:14Z,WC4J-3,N3HF-1?,3(0/0),0,;,506,/d,38.656167,-77.442167,,,,,,,APRSISCE win32 version,,,Coles VFD
0,1539216085,2018-10-11T00:01:25Z,KE4FYL-1,N3HF-1?,2(0/0),0,!,KE4FYL-1,/#,39.116167,-77.582000,,,,,,,UIdigi,,," Fill-In W1,VA1 Leesburg VA"
0,1539216104,2018-10-11T00:01:44Z,WC4J-3,N3HF-1?,3(0/0),0,;,508,/d,38.794333,-77.449667,,,,,,,APRSISCE win32 version,,,Yorkshire VFD
0,1539216134,2018-10-11T00:02:14Z,WC4J-3,N3HF-1?,3(0/0),0,;,507,/d,38.707167,-77.452833,,,,,,,APRSISCE win32 version,,,Lake Jackson VFD
0,1539216152,2018-10-11T00:02:32Z,W5ODJ-5,N3HF-1?,2(0/0),0,!,W5ODJ-5,/#,39.236500,-77.665000,,,,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,www.k4lrg.org
0,1539216164,2018-10-11T00:02:44Z,WC4J-3,N3HF-1?,2(0/0),0,;,511,/d,38.786833,-77.508000,,,,,,,APRSISCE win32 version,,,Stonewall Jackson FD
0,1539216173,2018-10-11T00:02:53Z,KB2CKK-7,N3HF-1?,2(0/0),0,`,KB2CKK-7,/>,39.357833,-77.504833,55.0,180.0,150.0,,,,Yaesu FTM-400DR,Off Duty,,
0,1539216179,2018-10-11T00:02:59Z,K4DPF-2,N3HF-1?,1(0/0),0,_,K4DPF-2,/U,,,,,,,,,Byons WXTrac,,,
0,1539216194,2018-10-11T00:03:14Z,WC4J-3,N3HF-1?,3(0/0),0,;,509,/d,38.770833,-77.446333,,,,,,,APRSISCE win32 version,,,Manassas Park FD
0,1539216201,2018-10-11T00:03:21Z,N3HF-1,N3HF-1,3(0/0),0,;,IRLP-4712,I0,39.040000,-76.992167,,,,443.450,,156.7,,,, N3HF-R
0,1539216220,2018-10-11T00:03:40Z,W4PGT,N3HF-1?,2(0/0),0,!,W4PGT,/y,37.505833,-77.164167,,,,,,,,,, WinAPRS QRT @282058z
0,1539216224,2018-10-11T00:03:44Z,WC4J-3,N3HF-1?,2(0/0),0,;,512,/d,38.635833,-77.276167,,,,,,,APRSISCE win32 version,,,OWL VFD
0,1539216234,2018-10-11T00:03:54Z,NN3A-3,N3HF-1?,4(0/0),0,!,NN3A-3,/_,39.994000,-79.092167,,,,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,
0,1539216254,2018-10-11T00:04:14Z,WC4J-3,N3HF-1?,3(0/0),0,;,514,/d,38.688000,-77.313833,,,,,,,APRSISCE win32 version,,,OWL VFD
0,1539216273,2018-10-11T00:04:33Z,K4EME-3,N3HF-1?,3(0/0),0,!,K4EME-3,/#,38.165333,-79.314167,,,,,,,,,,"/WIDE-RELAY digi on Elliott Knob,VA A=4440"
0,1539216284,2018-10-11T00:04:44Z,WC4J-3,N3HF-1?,1(0/0),0,;,513,/d,38.656667,-77.341667,,,,,,,APRSISCE win32 version,,,Dale City VFD
0,1539216314,2018-10-11T00:05:14Z,WC4J-3,N3HF-1?,3(0/0),0,;,503R,/d,38.558000,-77.325500,,,,,,,APRSISCE win32 version,,,Dumfries Triangle VFD
0,1539216323,2018-10-11T00:05:23Z,N3HF-1,N3HF-1,2(0/0),0,;,EL-84345,E0,39.040000,-76.992167,,,,443.450,,156.7,Kantronics KPC-3 rom versions,,, N3HF-R
0,1539216344,2018-10-11T00:05:44Z,WC4J-3,N3HF-1?,1(0/0),0,;,515,/d,38.880667,-77.634000,,,,,,,APRSISCE win32 version,,,Evergreen FD
0,1539216366,2018-10-11T00:06:06Z,KG4QWI-9,N3HF-1?,2(0/0),0,`,KG4QWI-9,/>,38.411167,-78.902833,34.0,221.0,385.0,,,,Yaesu FTM-100D,In Service,,
0,1539216374,2018-10-11T00:06:14Z,WC4J-3,N3HF-1?,2(0/0),0,;,516,/d,38.731333,-77.418500,,,,,,,APRSISCE win32 version,,,Buckhall VFD
0,1539216405,2018-10-11T00:06:45Z,WC4J-3,N3HF-1?,3(0/0),0,;,526,/d,38.684667,-77.360000,,,,,,,APRSISCE win32 version,,,PWC FD Station 26
0,1539216413,2018-10-11T00:06:53Z,N1RM-1,N3HF-1?,2(0/0),0,@,N1RM-1,S#,38.958167,-77.364333,,,,,,,SQ3PLX http://microsat.com.pl/,,,4/Near Reston Hospital
0,1539216434,2018-10-11T00:07:14Z,WC4J-3,N3HF-1?,3(0/0),0,;,520,/d,38.647667,-77.306333,,,,,,,APRSISCE win32 version,,,Dale City FD
0,1539216435,2018-10-11T00:07:15Z,N3HF-1,N3HF-1,3(0/0),0,!,N3HF-1,S#,38.684500,-77.418333,,,,,,,Kantronics KPC-3 rom versions,,,"/W3,VAn,Independent Hill VA /A=00354"
0,1539216437,2018-10-11T00:07:17Z,W4PWC,N3HF-1?,3(0/0),0,!,W4PWC,S#,38.567333,-77.657667,,,,,,,Kantronics KPC-9612 Roms,,, W2 VAN-N CATLETT VA
0,1539216449,2018-10-11T00:07:29Z,N3HF-1,N3HF-1,3(0/0),0,;,443.450MD,/r,39.040000,-76.992167,,,,443.450,,156.7,,,, N3HF-R
0,1539216464,2018-10-11T00:07:44Z,WC4J-3,N3HF-1?,2(0/0),0,;,502,/d,38.663333,-77.255667,,,,,,,APRSISCE win32 version,,,OWL VFD
0,1539216472,2018-10-11T00:07:52Z,KC3BBT-13,N3HF-1,3(0/0),0,@,KC3BBT-13,/_,38.966000,-77.094000,,,,,,,>40 APRSmax,,,
0,1539216475,2018-10-11T00:07:55Z,KC3BBT-13,N3HF-1?,3(0/0),0,@,KC3BBT-13,/_,38.966000,-77.094000,,,,,,,>40 APRSmax,,,
