chan,utime,isotime,source,heard,level,error,dti,name,symbol,latitude,longitude,speed,course,altitude,frequency,offset,tone,system,status,comment
0,1533340844,2018-08-04T00:00:44Z,K7SOB-13,N3HF-1,5(1/1),0,!,K7SOB-13,/#,39.315000,-79.132000,,,,,,,Open Track,,," 13.8V 71F 50W, Elevation 2982 ft, HAAT 1250 ft, 3dB Omni"
0,1533340845,2018-08-04T00:00:45Z,K7SOB-13,N3HF-1,3(1/1),0,T,K7SOB-13,/R,,,,,,,,,Open Track,,"Seq=14, A1=139, A2=0, A3=0, A4=0, A5=0, D1=0, D2=0, D3=0, D4=0, D5=0, D6=0, D7=0, D8=0",
0,1533340857,2018-08-04T00:00:57Z,W5ODJ-5,N3HF-1?,5(1/1),0,!,W5ODJ-5,/#,39.236500,-77.665000,,,,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,www.k4lrg.org
0,1533340875,2018-08-04T00:01:15Z,K8GIS-1,N3HF-1?,5(1/1),0,`,K8GIS-1,/k,39.141167,-77.693667,0.0,115.0,171.0,,,,Yaesu FTM-400DR,En Route,,
0,1533340884,2018-08-04T00:01:24Z,WC4J-3,N3HF-1?,5(1/1),0,;,508,/d,38.794333,-77.449667,,,,,,,APRSISCE win32 version,,,Yorkshire VFD
0,1533340897,2018-08-04T00:01:37Z,N3HF-1,N3HF-1,6(1/1),0,;,EL-84345,E0,39.040000,-76.992167,,,,443.450,,156.7,Kantronics KPC-3 rom versions,,, N3HF-R
0,1533340901,2018-08-04T00:01:41Z,KC4DV-9,N3HF-1?,6(1/1),0,`,KC4DV-9,/>,38.736667,-77.473333,0.0,215.0,57.0,,,,Yaesu FTM-400DR,En Route,,
0,1533340915,2018-08-04T00:01:55Z,WC4J-3,N3HF-1?,5(1/1),0,;,520,/d,38.647667,-77.306333,,,,,,,APRSISCE win32 version,,,Dale City FD
0,1533340918,2018-08-04T00:01:58Z,N3LJS-2,N3HF-1,4(1/1),0,!,N3LJS-2,L#,39.620833,-78.620333,,,,,,,Kantronics KPC-3 rom versions,,,"/R,MDn,Wn ALLEGANY CO.,MD RACES DIGI"
0,1533340930,2018-08-04T00:02:10Z,K3HKI-1,N3HF-1,4(1/1),0,!,K3HKI-1,S#,38.396500,-76.631333,,,,,,,Kantronics KPC-3 rom versions,,, W3 MD3-3 SMCARA APRS Digi
0,1533340936,2018-08-04T00:02:16Z,W3SMD-1,N3HF-1?,5(1/1),0,!,W3SMD-1,S#,38.494333,-76.700000,,,,,,,Kantronics KPC-3 rom versions,,," W3, MD3-3, Hidden River RD"
0,1533340955,2018-08-04T00:02:35Z,N3HF-1,N3HF-1,4(1/1),0,;,443.450MD,/r,39.040000,-76.992167,,,,443.450,,156.7,,,, N3HF-R
0,1533340965,2018-08-04T00:02:45Z,W4VA-10,N3HF-1?,4(1/1),0,:,W4VA-10,/<,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1533340966,2018-08-04T00:02:46Z,W4VA-10,N3HF-1?,6(1/1),0,:,W4VA-10,/<,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1533340967,2018-08-04T00:02:47Z,W4VA-10,N3HF-1?,4(0/1),0,:,W4VA-10,/<,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1533340973,2018-08-04T00:02:53Z,W4VA-10,N3HF-1?,5(1/1),0,T,W4VA-10,/<,,,,,,,,,"DireWolf, WB2OSZ",,"Seq=887, Supply=11.73 Volts, Humidity=55.0 %, Temp=69.8 deg.F, 5GHz_remote=-96 dBm, 5GHz_base=-96 dBm, unused= unused0, unused= unused0, unused= unused0, 5G_link= 5G_Link1, AllStar= AllStar1, APRS= APRS1, unused= unused0, DR1X= DR1X1",
0,1533340976,2018-08-04T00:02:56Z,WC4J-3,N3HF-1?,4(1/1),0,;,518,/d,38.666000,-77.381833,,,,,,,APRSISCE win32 version,,,Dale City VFD
0,1533340978,2018-08-04T00:02:58Z,WX4C,N3HF-1?,4(1/1),0,',WX4C,/.,38.504333,-78.767333,0.0,,,,,,Kenwood TM-D710,Committed,,www.wx4c.com
0,1533340981,2018-08-04T00:03:01Z,W2JKT-9,N3HF-1?,8(1/1),0,`,W2JKT-9,/>,39.464500,-77.401833,0.0,171.0,102.0,,,,Kenwood TM-D710,En Route,,PHILIPPIANS 4:8
0,1533340990,2018-08-04T00:03:10Z,W4VA-10,N3HF-1?,4(1/1),0,<,W4VA-10,/<,,,,,,,,,"DireWolf, WB2OSZ",,,"IGATE,MSG_CNT=0,PKT_CNT=0,DIR_CNT=24,LOC_CNT=78,RF_CNT=106,UPL_CNT=824319,DNL_CNT=371752"
0,1533340996,2018-08-04T00:03:16Z,KJ4RPW-3,N3HF-1?,4(1/1),0,!,KJ4RPW-3,S#,37.984167,-78.485000,,,,,,,Kantronics KPC-3 rom versions,,,"/W3,VAn,Wn  CHARLOTTESVILLE, VA"
